;derivative_mean;derivative_min;derivative_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
170;0.391093531;0.391093531;0.391093531;0.424083274;0.424083274;0.424083274
171;0.390966164;0.390966164;0.390966164;0.42349595;0.42349595;0.42349595
172;0.391068407;0.391068407;0.391068407;0.422590434;0.422590434;0.422590434
173;0.390745563;0.390745563;0.390745563;0.422553666;0.422553666;0.422553666
174;0.389722132;0.389722132;0.389722132;0.42253529;0.42253529;0.42253529
175;0.389353287;0.389353287;0.389353287;0.422284607;0.422284607;0.422284607
176;0.389458197;0.389458197;0.389458197;0.422395734;0.422395734;0.422395734
177;0.389262406;0.389262406;0.389262406;0.422305772;0.422305772;0.422305772
178;0.388922613;0.388922613;0.388922613;0.422293887;0.422293887;0.422293887
179;0.388641469;0.388641469;0.388641469;0.422327156;0.422327156;0.422327156
180;0.38800409;0.38800409;0.38800409;0.42287569;0.42287569;0.42287569
181;0.388204837;0.388204837;0.388204837;0.422859358;0.422859358;0.422859358
182;0.388067729;0.388067729;0.388067729;0.422788341;0.422788341;0.422788341
183;0.387934085;0.387934085;0.387934085;0.422766797;0.422766797;0.422766797
184;0.387632734;0.387632734;0.387632734;0.42276161;0.42276161;0.42276161
185;0.386960976;0.386960976;0.386960976;0.422748662;0.422748662;0.422748662
186;0.386975506;0.386975506;0.386975506;0.422713313;0.422713313;0.422713313
187;0.386720227;0.386720227;0.386720227;0.422672697;0.422672697;0.422672697
188;0.386564528;0.386564528;0.386564528;0.422637264;0.422637264;0.422637264
189;0.38622307;0.38622307;0.38622307;0.422567756;0.422567756;0.422567756
190;0.386000938;0.386000938;0.386000938;0.422348422;0.422348422;0.422348422
191;0.385965249;0.385965249;0.385965249;0.422335913;0.422335913;0.422335913
192;0.385926849;0.385926849;0.385926849;0.422298366;0.422298366;0.422298366
193;0.38608191;0.38608191;0.38608191;0.422290314;0.422290314;0.422290314
194;0.386375658;0.386375658;0.386375658;0.42227536;0.42227536;0.42227536
195;0.386206748;0.386206748;0.386206748;0.422274482;0.422274482;0.422274482
