;expVisits_mean;expVisits_min;expVisits_max
228;87.30999999999999;86.96;87.53
229;87.13333333333333;86.63;87.45
230;87.05666666666666;86.52;87.4
231;86.93666666666667;86.43;87.25
232;86.89666666666666;86.41;87.2
233;86.74000000000001;86.27;87.02
234;86.66000000000001;86.19;86.95
235;86.54333333333334;86.16;86.86
236;86.46666666666665;86.09;86.79
237;86.29;85.93;86.49
238;86.19333333333333;85.75;86.45
239;86.01666666666667;85.62;86.26
240;85.93;85.54;86.19
241;85.78333333333335;85.34;86.11
242;85.67;85.33;85.93
243;85.53666666666668;85.25;85.85
244;85.40333333333332;84.98;85.74
245;85.31333333333333;84.92;85.71
246;85.15666666666667;84.71;85.53
247;85.07666666666667;84.59;85.48
248;85.01;84.57;85.42
249;84.81333333333333;84.39;85.22
250;84.73666666666666;84.32;85.17
251;84.38999999999999;83.96;84.96
252;84.31;83.88;84.89
253;84.17;83.73;84.67
254;83.93666666666667;83.66;84.17
255;83.84666666666666;83.59;84.13
256;83.75333333333333;83.52;83.93
257;83.65333333333332;83.41;83.82
258;83.54;83.34;83.78
259;83.49;83.32;83.71
260;83.41000000000001;83.25;83.68
261;83.33333333333333;83.2;83.57
262;83.22333333333334;83.04;83.49
263;83.16;83.0;83.34
264;83.08333333333333;82.93;83.29
265;82.93666666666667;82.81;83.14
266;82.87666666666667;82.74;83.09
267;82.82333333333334;82.66;83.03
268;82.70333333333333;82.43;82.97
269;82.54;82.22;82.88
270;82.45666666666666;82.11;82.81
271;82.39333333333333;82.08;82.79
272;82.29666666666667;82.03;82.69
273;82.19333333333334;81.98;82.6
274;82.12333333333333;81.93;82.51
275;81.99;81.8;82.33
276;81.89333333333333;81.66;82.28
277;81.77999999999999;81.57;82.08
278;81.7;81.51;81.94
279;81.58999999999999;81.38;81.8
280;81.56;81.34;81.76
281;81.49666666666667;81.26;81.7
282;81.43666666666667;81.21;81.62
283;81.35333333333334;81.15;81.61
284;81.27333333333333;81.11;81.55
285;81.22;81.05;81.5
286;81.16333333333333;81.0;81.47
287;81.06;80.91;81.31
288;80.98333333333333;80.81;81.24
289;80.86666666666666;80.64;81.15
290;80.78333333333333;80.51;81.09
291;80.65666666666668;80.42;80.98
292;80.49666666666667;80.18;80.82
293;80.43333333333334;80.15;80.69
294;80.31333333333333;80.1;80.52
295;80.09666666666668;79.91;80.26
296;80.05333333333334;79.85;80.2
297;79.96;79.79;80.05
298;79.93;79.79;80.0
299;79.73666666666666;79.7;79.78
300;79.67333333333333;79.59;79.78
301;79.63333333333333;79.52;79.77
302;79.48666666666666;79.19;79.72
303;79.39666666666666;79.1;79.67
304;79.30666666666666;78.98;79.59
305;79.21;78.97;79.36
306;79.13;78.92;79.3
307;79.09333333333332;78.85;79.27
308;79.05333333333334;78.81;79.26
309;78.98;78.76;79.14
310;78.74666666666667;78.5;79.04
311;78.68333333333334;78.44;78.96
312;78.55333333333334;78.43;78.73
313;78.41666666666667;78.24;78.68
314;78.34666666666666;78.19;78.63
315;78.27666666666666;78.07;78.58
316;78.23666666666666;78.02;78.56
317;78.12666666666667;77.79;78.51
318;78.05;77.72;78.47
319;77.99000000000001;77.68;78.39
320;77.95;77.63;78.36
321;77.86666666666667;77.62;78.19
322;77.78666666666666;77.49;78.16
323;77.71;77.38;78.06
324;77.62666666666667;77.3;78.01
325;77.58999999999999;77.26;77.96
326;77.55333333333333;77.19;77.96
327;77.47666666666667;77.14;77.9
328;77.41000000000001;77.1;77.79
329;77.38666666666667;77.09;77.75
330;77.27;76.94;77.6
331;77.21333333333332;76.89;77.49
332;77.17666666666668;76.83;77.48
333;77.14333333333333;76.83;77.44
334;77.09666666666668;76.78;77.39
335;77.02333333333333;76.74;77.33
336;76.93666666666667;76.68;77.29
337;76.90333333333334;76.67;77.25
338;76.8;76.62;77.07
339;76.69;76.55;76.93
340;76.63000000000001;76.48;76.84
341;76.45333333333333;76.38;76.6
342;76.35000000000001;76.23;76.54
343;76.3;76.16;76.52
344;76.23666666666666;76.1;76.47
345;75.92;75.59;76.11
346;75.86666666666667;75.49;76.07
347;75.51666666666667;75.16;75.94
348;75.47666666666667;75.12;75.93
349;75.43666666666667;75.07;75.88
350;75.38333333333333;75.02;75.81
351;75.02333333333333;74.82;75.26
352;74.94000000000001;74.68;75.22
353;74.92;74.67;75.18
354;74.85;74.63;75.07
