;derivative_mean;derivative_min;derivative_max;expVisits_mean;expVisits_min;expVisits_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
176;64.72;64.72;64.72;90.28;90.28;90.28;83.84;83.84;83.84
177;64.44;64.44;64.44;90.02;90.02;90.02;83.33;83.33;83.33
178;64.14;64.14;64.14;89.84;89.84;89.84;83.18;83.18;83.18
179;63.93;63.93;63.93;89.71;89.71;89.71;83.01;83.01;83.01
180;63.72;63.72;63.72;89.25;89.25;89.25;82.62;82.62;82.62
181;63.5;63.5;63.5;88.96;88.96;88.96;82.56;82.56;82.56
182;63.27;63.27;63.27;88.88;88.88;88.88;82.37;82.37;82.37
183;63.05;63.05;63.05;88.82;88.82;88.82;82.19;82.19;82.19
184;62.92;62.92;62.92;88.67;88.67;88.67;81.19;81.19;81.19
185;62.75;62.75;62.75;88.6;88.6;88.6;80.9;80.9;80.9
186;62.6;62.6;62.6;88.54;88.54;88.54;80.83;80.83;80.83
187;62.39;62.39;62.39;88.43;88.43;88.43;79.93;79.93;79.93
188;62.21;62.21;62.21;88.31;88.31;88.31;78.57;78.57;78.57
189;62.04;62.04;62.04;88.22;88.22;88.22;78.52;78.52;78.52
190;61.85;61.85;61.85;87.74;87.74;87.74;78.12;78.12;78.12
191;61.7;61.7;61.7;87.69;87.69;87.69;77.68;77.68;77.68
192;61.4;61.4;61.4;87.54;87.54;87.54;77.37;77.37;77.37
193;61.23;61.23;61.23;86.82;86.82;86.82;77.13;77.13;77.13
194;61.11;61.11;61.11;86.48;86.48;86.48;76.83;76.83;76.83
195;60.9;60.9;60.9;86.42;86.42;86.42;76.55;76.55;76.55
196;60.74;60.74;60.74;86.19;86.19;86.19;76.12;76.12;76.12
197;60.5;60.5;60.5;86.11;86.11;86.11;75.96;75.96;75.96
198;60.3;60.3;60.3;85.95;85.95;85.95;75.66;75.66;75.66
199;60.05;60.05;60.05;85.71;85.71;85.71;75.35;75.35;75.35
200;59.89;59.89;59.89;85.58;85.58;85.58;74.97;74.97;74.97
201;59.7;59.7;59.7;85.52;85.52;85.52;74.69;74.69;74.69
202;59.52;59.52;59.52;85.41;85.41;85.41;74.43;74.43;74.43
203;59.37;59.37;59.37;85.36;85.36;85.36;74.4;74.4;74.4
204;59.22;59.22;59.22;84.89;84.89;84.89;73.42;73.42;73.42
205;59.05;59.05;59.05;84.75;84.75;84.75;73.25;73.25;73.25
206;58.77;58.77;58.77;84.38;84.38;84.38;72.94;72.94;72.94
207;58.7;58.7;58.7;84.33;84.33;84.33;72.74;72.74;72.74
208;58.55;58.55;58.55;84.24;84.24;84.24;72.49;72.49;72.49
209;58.35;58.35;58.35;84.18;84.18;84.18;72.38;72.38;72.38
210;58.14;58.14;58.14;84.1;84.1;84.1;72.37;72.37;72.37
211;57.93;57.93;57.93;84.04;84.04;84.04;72.3;72.3;72.3
212;57.77;57.77;57.77;83.97;83.97;83.97;71.91;71.91;71.91
213;57.66;57.66;57.66;83.86;83.86;83.86;71.68;71.68;71.68
214;57.45;57.45;57.45;83.23;83.23;83.23;71.33;71.33;71.33
215;57.31;57.31;57.31;83.17;83.17;83.17;70.92;70.92;70.92
216;57.16;57.16;57.16;82.96;82.96;82.96;70.26;70.26;70.26
217;57.01;57.01;57.01;82.73;82.73;82.73;70.13;70.13;70.13
218;56.83;56.83;56.83;82.62;82.62;82.62;69.99;69.99;69.99
219;56.66;56.66;56.66;82.58;82.58;82.58;69.84;69.84;69.84
220;56.49;56.49;56.49;82.51;82.51;82.51;69.8;69.8;69.8
221;56.38;56.38;56.38;82.22;82.22;82.22;69.53;69.53;69.53
222;56.14;56.14;56.14;82.17;82.17;82.17;69.39;69.39;69.39
223;55.94;55.94;55.94;82.06;82.06;82.06;68.72;68.72;68.72
224;55.77;55.77;55.77;81.96;81.96;81.96;68.6;68.6;68.6
225;55.7;55.7;55.7;81.89;81.89;81.89;68.59;68.59;68.59
226;55.54;55.54;55.54;81.79;81.79;81.79;68.31;68.31;68.31
227;55.42;55.42;55.42;81.75;81.75;81.75;68.21;68.21;68.21
228;55.27;55.27;55.27;81.7;81.7;81.7;68.03;68.03;68.03
229;55.07;55.07;55.07;81.65;81.65;81.65;68.01;68.01;68.01
230;54.95;54.95;54.95;81.43;81.43;81.43;67.24;67.24;67.24
231;54.71;54.71;54.71;80.85;80.85;80.85;67.14;67.14;67.14
232;54.61;54.61;54.61;80.74;80.74;80.74;66.9;66.9;66.9
233;54.5;54.5;54.5;80.69;80.69;80.69;66.31;66.31;66.31
234;54.53;54.53;54.53;80.38;80.38;80.38;66.03;66.03;66.03
235;54.38;54.38;54.38;80.24;80.24;80.24;65.94;65.94;65.94
236;54.26;54.26;54.26;80.03;80.03;80.03;65.83;65.83;65.83
237;54.15;54.15;54.15;79.96;79.96;79.96;65.75;65.75;65.75
238;54.02;54.02;54.02;79.93;79.93;79.93;65.72;65.72;65.72
239;53.84;53.84;53.84;79.37;79.37;79.37;65.67;65.67;65.67
240;53.7;53.7;53.7;79.28;79.28;79.28;65.31;65.31;65.31
241;53.61;53.61;53.61;79.22;79.22;79.22;65.16;65.16;65.16
242;53.55;53.55;53.55;79.12;79.12;79.12;65.03;65.03;65.03
243;53.4;53.4;53.4;78.85;78.85;78.85;64.9;64.9;64.9
244;53.31;53.31;53.31;78.82;78.82;78.82;64.7;64.7;64.7
245;53.2;53.2;53.2;78.77;78.77;78.77;64.66;64.66;64.66
246;53.07;53.07;53.07;78.74;78.74;78.74;64.57;64.57;64.57
247;52.95;52.95;52.95;78.65;78.65;78.65;64.44;64.44;64.44
248;52.87;52.87;52.87;78.59;78.59;78.59;64.33;64.33;64.33
249;52.75;52.75;52.75;78.54;78.54;78.54;64.1;64.1;64.1
250;52.62;52.62;52.62;78.45;78.45;78.45;64.01;64.01;64.01
251;52.5;52.5;52.5;78.42;78.42;78.42;63.42;63.42;63.42
252;52.43;52.43;52.43;78.19;78.19;78.19;63.33;63.33;63.33
253;52.32;52.32;52.32;77.7;77.7;77.7;63.05;63.05;63.05
254;52.22;52.22;52.22;77.65;77.65;77.65;62.77;62.77;62.77
255;52.09;52.09;52.09;77.5;77.5;77.5;62.69;62.69;62.69
256;51.94;51.94;51.94;77.39;77.39;77.39;62.56;62.56;62.56
257;51.81;51.81;51.81;77.31;77.31;77.31;62.11;62.11;62.11
258;51.69;51.69;51.69;77.25;77.25;77.25;62.0;62.0;62.0
259;51.56;51.56;51.56;77.21;77.21;77.21;61.81;61.81;61.81
260;51.43;51.43;51.43;77.17;77.17;77.17;61.73;61.73;61.73
261;51.36;51.36;51.36;76.84;76.84;76.84;61.63;61.63;61.63
262;51.17;51.17;51.17;76.51;76.51;76.51;61.43;61.43;61.43
263;51.15;51.15;51.15;76.49;76.49;76.49;61.19;61.19;61.19
264;51.04;51.04;51.04;76.42;76.42;76.42;61.15;61.15;61.15
265;50.93;50.93;50.93;75.82;75.82;75.82;61.03;61.03;61.03
266;50.83;50.83;50.83;75.74;75.74;75.74;60.82;60.82;60.82
267;50.72;50.72;50.72;75.69;75.69;75.69;60.64;60.64;60.64
268;50.64;50.64;50.64;75.61;75.61;75.61;60.5;60.5;60.5
269;50.6;50.6;50.6;75.48;75.48;75.48;60.27;60.27;60.27
270;50.49;50.49;50.49;75.44;75.44;75.44;60.21;60.21;60.21
271;50.33;50.33;50.33;75.4;75.4;75.4;60.05;60.05;60.05
272;50.23;50.23;50.23;75.35;75.35;75.35;60.0;60.0;60.0
273;50.14;50.14;50.14;75.32;75.32;75.32;59.98;59.98;59.98
274;49.97;49.97;49.97;75.14;75.14;75.14;59.95;59.95;59.95
