;derivative_mean;derivative_min;derivative_max;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max;expVisits_mean;expVisits_min;expVisits_max;samples_mean;samples_min;samples_max;random_mean;random_min;random_max
26;162.557320296;162.557320296;162.557320296;197.821886074;197.821886074;197.821886074;181.243134836;181.243134836;181.243134836;205.634456233;205.634456233;205.634456233;226.489596456;226.489596456;226.489596456
27;160.555909628;160.555909628;160.555909628;196.40660815;196.40660815;196.40660815;180.10311093;180.10311093;180.10311093;205.535921283;205.535921283;205.535921283;226.390272179;226.390272179;226.390272179
28;157.690260413;157.690260413;157.690260413;194.470834225;194.470834225;194.470834225;179.472023794;179.472023794;179.472023794;205.527425898;205.527425898;205.527425898;225.421295476;225.421295476;225.421295476
29;155.639015871;155.639015871;155.639015871;193.958898421;193.958898421;193.958898421;177.577591094;177.577591094;177.577591094;205.471904477;205.471904477;205.471904477;224.914662067;224.914662067;224.914662067
30;153.691862019;153.691862019;153.691862019;192.061845436;192.061845436;192.061845436;176.602239491;176.602239491;176.602239491;203.46329953;203.46329953;203.46329953;224.848989241;224.848989241;224.848989241
31;151.858268976;151.858268976;151.858268976;190.297537552;190.297537552;190.297537552;174.867320158;174.867320158;174.867320158;202.423840588;202.423840588;202.423840588;224.552733464;224.552733464;224.552733464
32;150.064719617;150.064719617;150.064719617;189.883522209;189.883522209;189.883522209;170.532268763;170.532268763;170.532268763;199.80095397;199.80095397;199.80095397;224.164071502;224.164071502;224.164071502
33;148.19239133;148.19239133;148.19239133;188.263815384;188.263815384;188.263815384;169.560639111;169.560639111;169.560639111;198.271662389;198.271662389;198.271662389;224.169943542;224.169943542;224.169943542
34;146.27004293;146.27004293;146.27004293;188.047318752;188.047318752;188.047318752;165.382355656;165.382355656;165.382355656;198.104653548;198.104653548;198.104653548;222.412927686;222.412927686;222.412927686
35;144.118248351;144.118248351;144.118248351;185.58014534;185.58014534;185.58014534;164.530854797;164.530854797;164.530854797;197.653818268;197.653818268;197.653818268;219.649770303;219.649770303;219.649770303
36;142.56068905;142.56068905;142.56068905;185.016471244;185.016471244;185.016471244;163.772685488;163.772685488;163.772685488;196.938666516;196.938666516;196.938666516;218.971491346;218.971491346;218.971491346
37;141.095614978;141.095614978;141.095614978;184.679745381;184.679745381;184.679745381;162.339636211;162.339636211;162.339636211;196.852091055;196.852091055;196.852091055;217.802841;217.802841;217.802841
38;139.564067126;139.564067126;139.564067126;184.294688842;184.294688842;184.294688842;160.252136944;160.252136944;160.252136944;196.249416234;196.249416234;196.249416234;216.589961829;216.589961829;216.589961829
39;138.456506835;138.456506835;138.456506835;181.195057093;181.195057093;181.195057093;159.582888019;159.582888019;159.582888019;195.451792272;195.451792272;195.451792272;216.521876972;216.521876972;216.521876972
40;136.979556032;136.979556032;136.979556032;176.392115966;176.392115966;176.392115966;158.905566495;158.905566495;158.905566495;195.242159168;195.242159168;195.242159168;216.504140784;216.504140784;216.504140784
