;derivative_mean;derivative_min;derivative_max
463;36.97;36.97;36.97
464;36.92;36.92;36.92
465;36.85;36.85;36.85
466;36.8;36.8;36.8
467;36.76;36.76;36.76
468;36.71;36.71;36.71
469;36.67;36.67;36.67
470;36.6;36.6;36.6
471;36.56;36.56;36.56
472;36.48;36.48;36.48
473;36.44;36.44;36.44
474;36.41;36.41;36.41
475;36.33;36.33;36.33
476;36.29;36.29;36.29
477;36.26;36.26;36.26
478;36.21;36.21;36.21
479;36.17;36.17;36.17
480;36.13;36.13;36.13
481;36.07;36.07;36.07
482;36.03;36.03;36.03
483;36.01;36.01;36.01
484;35.96;35.96;35.96
485;35.91;35.91;35.91
486;35.87;35.87;35.87
487;35.83;35.83;35.83
488;35.79;35.79;35.79
489;35.74;35.74;35.74
490;35.7;35.7;35.7
491;35.66;35.66;35.66
492;35.61;35.61;35.61
493;35.59;35.59;35.59
494;35.56;35.56;35.56
495;35.52;35.52;35.52
496;35.48;35.48;35.48
497;35.45;35.45;35.45
498;35.41;35.41;35.41
499;35.37;35.37;35.37
500;35.34;35.34;35.34
501;35.29;35.29;35.29
502;35.26;35.26;35.26
503;35.23;35.23;35.23
504;35.18;35.18;35.18
505;35.15;35.15;35.15
506;35.12;35.12;35.12
507;35.07;35.07;35.07
508;35.03;35.03;35.03
509;34.99;34.99;34.99
510;34.96;34.96;34.96
511;34.95;34.95;34.95
512;34.91;34.91;34.91
513;34.88;34.88;34.88
514;34.86;34.86;34.86
515;34.83;34.83;34.83
516;34.8;34.8;34.8
517;34.77;34.77;34.77
518;34.74;34.74;34.74
519;34.7;34.7;34.7
520;34.68;34.68;34.68
521;34.64;34.64;34.64
522;34.6;34.6;34.6
523;34.57;34.57;34.57
524;34.54;34.54;34.54
525;34.52;34.52;34.52
526;34.5;34.5;34.5
527;34.47;34.47;34.47
528;34.45;34.45;34.45
529;34.38;34.38;34.38
530;34.35;34.35;34.35
531;34.35;34.35;34.35
532;34.31;34.31;34.31
533;34.29;34.29;34.29
534;34.24;34.24;34.24
535;34.21;34.21;34.21
536;34.15;34.15;34.15
537;34.12;34.12;34.12
538;34.09;34.09;34.09
539;34.06;34.06;34.06
540;34.04;34.04;34.04
541;34.03;34.03;34.03
542;34.0;34.0;34.0
543;33.97;33.97;33.97
544;33.93;33.93;33.93
545;33.94;33.94;33.94
546;33.91;33.91;33.91
547;33.87;33.87;33.87
548;33.82;33.82;33.82
549;33.79;33.79;33.79
550;33.75;33.75;33.75
551;33.71;33.71;33.71
552;33.68;33.68;33.68
553;33.65;33.65;33.65
554;33.62;33.62;33.62
555;33.59;33.59;33.59
556;33.55;33.55;33.55
557;33.5;33.5;33.5
558;33.47;33.47;33.47
559;33.44;33.44;33.44
560;33.43;33.43;33.43
561;33.39;33.39;33.39
562;33.35;33.35;33.35
563;33.3;33.3;33.3
564;33.25;33.25;33.25
565;33.22;33.22;33.22
566;33.15;33.15;33.15
567;33.12;33.12;33.12
568;33.1;33.1;33.1
569;33.03;33.03;33.03
570;32.97;32.97;32.97
571;32.93;32.93;32.93
572;32.93;32.93;32.93
573;32.89;32.89;32.89
574;32.84;32.84;32.84
575;32.8;32.8;32.8
576;32.77;32.77;32.77
577;32.76;32.76;32.76
578;32.74;32.74;32.74
579;32.71;32.71;32.71
580;32.7;32.7;32.7
581;32.66;32.66;32.66
582;32.64;32.64;32.64
583;32.61;32.61;32.61
584;32.59;32.59;32.59
585;32.56;32.56;32.56
586;32.55;32.55;32.55
587;32.54;32.54;32.54
588;32.52;32.52;32.52
589;32.48;32.48;32.48
590;32.46;32.46;32.46
591;32.43;32.43;32.43
592;32.42;32.42;32.42
593;32.4;32.4;32.4
594;32.37;32.37;32.37
595;32.34;32.34;32.34
596;32.26;32.26;32.26
597;32.23;32.23;32.23
598;32.2;32.2;32.2
599;32.17;32.17;32.17
600;32.14;32.14;32.14
601;32.12;32.12;32.12
602;32.1;32.1;32.1
603;32.07;32.07;32.07
604;32.02;32.02;32.02
605;31.99;31.99;31.99
606;31.96;31.96;31.96
607;31.94;31.94;31.94
608;31.9;31.9;31.9
609;31.89;31.89;31.89
610;31.86;31.86;31.86
611;31.82;31.82;31.82
612;31.8;31.8;31.8
613;31.76;31.76;31.76
614;31.74;31.74;31.74
615;31.73;31.73;31.73
616;31.71;31.71;31.71
617;31.68;31.68;31.68
618;31.65;31.65;31.65
619;31.63;31.63;31.63
620;31.64;31.64;31.64
621;31.6;31.6;31.6
622;31.58;31.58;31.58
623;31.54;31.54;31.54
