;expVisits_mean;expVisits_min;expVisits_max;samples_mean;samples_min;samples_max
236;80.03;80.03;80.03;95.81;95.81;95.81
237;79.96;79.96;79.96;95.76;95.76;95.76
238;79.93;79.93;79.93;95.72;95.72;95.72
239;79.37;79.37;79.37;95.42;95.42;95.42
240;79.28;79.28;79.28;95.27;95.27;95.27
241;79.22;79.22;79.22;95.13;95.13;95.13
242;79.12;79.12;79.12;95.08;95.08;95.08
243;78.85;78.85;78.85;95.01;95.01;95.01
244;78.82;78.82;78.82;94.93;94.93;94.93
245;78.77;78.77;78.77;94.57;94.57;94.57
246;78.74;78.74;78.74;94.54;94.54;94.54
247;78.65;78.65;78.65;94.43;94.43;94.43
248;78.59;78.59;78.59;94.2;94.2;94.2
249;78.54;78.54;78.54;94.1;94.1;94.1
250;78.45;78.45;78.45;93.79;93.79;93.79
251;78.42;78.42;78.42;93.61;93.61;93.61
252;78.19;78.19;78.19;93.66;93.66;93.66
253;77.7;77.7;77.7;93.46;93.46;93.46
254;77.65;77.65;77.65;92.21;92.21;92.21
255;77.5;77.5;77.5;91.7;91.7;91.7
256;77.39;77.39;77.39;91.69;91.69;91.69
257;77.31;77.31;77.31;91.69;91.69;91.69
258;77.25;77.25;77.25;91.1;91.1;91.1
259;77.21;77.21;77.21;91.09;91.09;91.09
260;77.17;77.17;77.17;90.75;90.75;90.75
261;76.84;76.84;76.84;90.24;90.24;90.24
262;76.51;76.51;76.51;88.74;88.74;88.74
263;76.49;76.49;76.49;87.89;87.89;87.89
264;76.42;76.42;76.42;87.84;87.84;87.84
265;75.82;75.82;75.82;86.55;86.55;86.55
266;75.74;75.74;75.74;86.37;86.37;86.37
267;75.69;75.69;75.69;85.55;85.55;85.55
268;75.61;75.61;75.61;85.08;85.08;85.08
269;75.48;75.48;75.48;84.87;84.87;84.87
270;75.44;75.44;75.44;84.86;84.86;84.86
271;75.4;75.4;75.4;84.19;84.19;84.19
272;75.35;75.35;75.35;84.12;84.12;84.12
273;75.32;75.32;75.32;83.96;83.96;83.96
274;75.14;75.14;75.14;83.95;83.95;83.95
275;75.07;75.07;75.07;83.64;83.64;83.64
276;74.97;74.97;74.97;83.25;83.25;83.25
277;74.91;74.91;74.91;83.13;83.13;83.13
278;74.88;74.88;74.88;83.01;83.01;83.01
279;74.84;74.84;74.84;83.0;83.0;83.0
280;74.75;74.75;74.75;83.0;83.0;83.0
281;74.68;74.68;74.68;82.98;82.98;82.98
282;74.63;74.63;74.63;82.76;82.76;82.76
283;74.6;74.6;74.6;82.66;82.66;82.66
284;74.45;74.45;74.45;81.79;81.79;81.79
285;74.4;74.4;74.4;81.46;81.46;81.46
286;74.14;74.14;74.14;81.4;81.4;81.4
287;74.09;74.09;74.09;81.3;81.3;81.3
288;73.94;73.94;73.94;81.19;81.19;81.19
289;73.91;73.91;73.91;81.18;81.18;81.18
290;73.87;73.87;73.87;81.08;81.08;81.08
291;73.82;73.82;73.82;81.01;81.01;81.01
292;73.74;73.74;73.74;80.99;80.99;80.99
293;73.43;73.43;73.43;80.95;80.95;80.95
294;73.36;73.36;73.36;80.94;80.94;80.94
295;73.02;73.02;73.02;80.92;80.92;80.92
296;72.99;72.99;72.99;80.24;80.24;80.24
297;72.96;72.96;72.96;80.17;80.17;80.17
298;72.91;72.91;72.91;80.08;80.08;80.08
299;72.87;72.87;72.87;80.09;80.09;80.09
300;72.79;72.79;72.79;79.72;79.72;79.72
301;72.76;72.76;72.76;79.52;79.52;79.52
302;72.7;72.7;72.7;79.48;79.48;79.48
303;72.65;72.65;72.65;79.35;79.35;79.35
304;72.64;72.64;72.64;79.31;79.31;79.31
305;72.5;72.5;72.5;79.04;79.04;79.04
306;72.47;72.47;72.47;79.0;79.0;79.0
307;72.44;72.44;72.44;78.96;78.96;78.96
308;72.37;72.37;72.37;78.48;78.48;78.48
309;72.32;72.32;72.32;78.39;78.39;78.39
310;72.02;72.02;72.02;78.34;78.34;78.34
311;72.0;72.0;72.0;78.27;78.27;78.27
312;71.75;71.75;71.75;78.27;78.27;78.27
313;71.67;71.67;71.67;78.2;78.2;78.2
314;71.65;71.65;71.65;78.11;78.11;78.11
315;71.61;71.61;71.61;78.09;78.09;78.09
316;71.55;71.55;71.55;78.02;78.02;78.02
317;71.53;71.53;71.53;77.92;77.92;77.92
318;71.49;71.49;71.49;77.82;77.82;77.82
319;71.0;71.0;71.0;77.82;77.82;77.82
320;70.78;70.78;70.78;77.79;77.79;77.79
321;70.76;70.76;70.76;77.76;77.76;77.76
322;70.7;70.7;70.7;77.75;77.75;77.75
323;70.61;70.61;70.61;77.5;77.5;77.5
324;70.53;70.53;70.53;77.38;77.38;77.38
325;70.38;70.38;70.38;77.34;77.34;77.34
326;70.23;70.23;70.23;77.28;77.28;77.28
327;70.19;70.19;70.19;77.25;77.25;77.25
328;70.15;70.15;70.15;77.2;77.2;77.2
329;70.13;70.13;70.13;77.1;77.1;77.1
330;70.09;70.09;70.09;77.08;77.08;77.08
331;70.01;70.01;70.01;77.0;77.0;77.0
332;69.97;69.97;69.97;76.94;76.94;76.94
333;69.95;69.95;69.95;76.86;76.86;76.86
334;69.92;69.92;69.92;76.69;76.69;76.69
335;69.54;69.54;69.54;76.51;76.51;76.51
336;69.49;69.49;69.49;76.46;76.46;76.46
337;69.44;69.44;69.44;76.3;76.3;76.3
338;69.27;69.27;69.27;75.37;75.37;75.37
339;69.22;69.22;69.22;75.04;75.04;75.04
340;69.2;69.2;69.2;75.04;75.04;75.04
341;69.16;69.16;69.16;75.03;75.03;75.03
342;69.06;69.06;69.06;74.71;74.71;74.71
343;69.02;69.02;69.02;74.68;74.68;74.68
344;69.0;69.0;69.0;74.41;74.41;74.41
345;68.98;68.98;68.98;73.98;73.98;73.98
346;68.95;68.95;68.95;73.03;73.03;73.03
347;68.72;68.72;68.72;72.49;72.49;72.49
348;68.47;68.47;68.47;72.48;72.48;72.48
349;68.36;68.36;68.36;71.62;71.62;71.62
350;68.33;68.33;68.33;71.44;71.44;71.44
351;68.29;68.29;68.29;70.89;70.89;70.89
352;68.24;68.24;68.24;70.66;70.66;70.66
353;68.18;68.18;68.18;70.37;70.37;70.37
