;expVisits_sampling_mean;expVisits_sampling_min;expVisits_sampling_max
462;43.65;43.65;43.65
463;43.61;43.61;43.61
464;43.62;43.62;43.62
465;43.56;43.56;43.56
466;43.54;43.54;43.54
467;43.42;43.42;43.42
468;43.35;43.35;43.35
469;43.25;43.25;43.25
470;43.13;43.13;43.13
471;43.09;43.09;43.09
472;43.02;43.02;43.02
473;42.98;42.98;42.98
474;42.92;42.92;42.92
475;42.87;42.87;42.87
476;42.83;42.83;42.83
477;42.78;42.78;42.78
478;42.73;42.73;42.73
479;42.71;42.71;42.71
480;42.61;42.61;42.61
481;42.57;42.57;42.57
482;42.57;42.57;42.57
483;42.47;42.47;42.47
484;42.46;42.46;42.46
485;42.39;42.39;42.39
486;42.35;42.35;42.35
487;42.32;42.32;42.32
488;42.19;42.19;42.19
489;42.14;42.14;42.14
490;42.08;42.08;42.08
491;42.07;42.07;42.07
492;41.99;41.99;41.99
493;41.96;41.96;41.96
494;41.95;41.95;41.95
495;41.91;41.91;41.91
496;41.88;41.88;41.88
497;41.84;41.84;41.84
498;41.81;41.81;41.81
499;41.81;41.81;41.81
500;41.78;41.78;41.78
501;41.76;41.76;41.76
502;41.74;41.74;41.74
503;41.68;41.68;41.68
504;41.67;41.67;41.67
505;41.63;41.63;41.63
506;41.48;41.48;41.48
507;41.42;41.42;41.42
508;41.35;41.35;41.35
509;41.33;41.33;41.33
510;41.27;41.27;41.27
511;41.23;41.23;41.23
512;41.19;41.19;41.19
513;41.16;41.16;41.16
514;41.15;41.15;41.15
515;41.05;41.05;41.05
516;40.93;40.93;40.93
517;40.85;40.85;40.85
518;40.82;40.82;40.82
519;40.8;40.8;40.8
520;40.75;40.75;40.75
521;40.71;40.71;40.71
522;40.69;40.69;40.69
523;40.62;40.62;40.62
524;40.62;40.62;40.62
525;40.61;40.61;40.61
526;40.5;40.5;40.5
527;40.48;40.48;40.48
528;40.38;40.38;40.38
529;40.29;40.29;40.29
530;40.28;40.28;40.28
531;40.27;40.27;40.27
532;40.23;40.23;40.23
533;40.22;40.22;40.22
534;40.18;40.18;40.18
535;40.17;40.17;40.17
536;40.15;40.15;40.15
537;40.08;40.08;40.08
538;40.07;40.07;40.07
539;40.06;40.06;40.06
540;40.03;40.03;40.03
541;39.99;39.99;39.99
542;39.93;39.93;39.93
543;39.88;39.88;39.88
544;39.83;39.83;39.83
545;39.82;39.82;39.82
546;39.75;39.75;39.75
547;39.74;39.74;39.74
548;39.69;39.69;39.69
549;39.68;39.68;39.68
550;39.68;39.68;39.68
551;39.66;39.66;39.66
552;39.63;39.63;39.63
553;39.55;39.55;39.55
554;39.5;39.5;39.5
555;39.42;39.42;39.42
556;39.21;39.21;39.21
557;39.16;39.16;39.16
558;39.11;39.11;39.11
559;39.06;39.06;39.06
560;39.05;39.05;39.05
561;38.97;38.97;38.97
